className;stack;average;repetitions
PriorityQueueArray;1024;260;1000
PriorityQueueArray;2048;278;1000
PriorityQueueArray;4096;317;1000
PriorityQueueArray;8192;354;1000
PriorityQueueArray;12288;362;1000
PriorityQueueArray;16384;363;1000
PriorityQueueArray;24576;367;1000
PriorityQueueArray;32768;388;1000
PriorityQueueHeap;1024;2121;1000
PriorityQueueHeap;2048;2695;1000
PriorityQueueHeap;4096;2961;1000
PriorityQueueHeap;8192;3322;1000
PriorityQueueHeap;12288;3619;1000
PriorityQueueHeap;16384;3871;1000
PriorityQueueHeap;24576;4183;1000
PriorityQueueHeap;32768;4232;1000


dla zakresu priorytetu 5*size
