className;stack;average;repetitions
PriorityQueueArray;1024;2681;1000
PriorityQueueArray;2048;6990;1000
PriorityQueueArray;4096;15620;1000
PriorityQueueArray;8192;34015;1000
PriorityQueueArray;12288;59278;1000
PriorityQueueArray;16384;94393;1000
PriorityQueueArray;24576;147462;1000
PriorityQueueArray;32768;217830;1000
PriorityQueueHeap;1024;610;1000
PriorityQueueHeap;2048;873;1000
PriorityQueueHeap;4096;873;1000
PriorityQueueHeap;8192;954;1000
PriorityQueueHeap;12288;1300;1000
PriorityQueueHeap;16384;1390;1000
PriorityQueueHeap;24576;1455;1000
PriorityQueueHeap;32768;1403;1000


dla zakresu priorytetu 5*size
