className;stack;average;repetitions
PriorityQueueArray;1024;227;1000
PriorityQueueArray;2048;248;1000
PriorityQueueArray;4096;282;1000
PriorityQueueArray;8192;322;1000
PriorityQueueArray;12288;331;1000
PriorityQueueArray;16384;331;1000
PriorityQueueArray;24576;335;1000
PriorityQueueArray;32768;343;1000
PriorityQueueHeap;1024;313;1000
PriorityQueueHeap;2048;341;1000
PriorityQueueHeap;4096;397;1000
PriorityQueueHeap;8192;401;1000
PriorityQueueHeap;12288;410;1000
PriorityQueueHeap;16384;407;1000
PriorityQueueHeap;24576;409;1000
PriorityQueueHeap;32768;421;1000
