className;stack;average;repetitions
PriorityQueueArray;1024;2347;1000
PriorityQueueArray;2048;6003;1000
PriorityQueueArray;4096;13295;1000
PriorityQueueArray;8192;28173;1000
PriorityQueueArray;12288;50600;1000
PriorityQueueArray;16384;79924;1000
PriorityQueueArray;24576;125258;1000
PriorityQueueArray;32768;183637;1000
PriorityQueueHeap;1024;525;1000
PriorityQueueHeap;2048;743;1000
PriorityQueueHeap;4096;887;1000
PriorityQueueHeap;8192;843;1000
PriorityQueueHeap;12288;1289;1000
PriorityQueueHeap;16384;1370;1000
PriorityQueueHeap;24576;1254;1000
PriorityQueueHeap;32768;1358;1000
