className;stack;average;repetitions
PriorityQueueArray;1024;2552;100
PriorityQueueArray;2048;4199;100
PriorityQueueArray;4096;8197;100
PriorityQueueArray;8192;15211;100
PriorityQueueArray;12288;25515;100
PriorityQueueArray;16384;29182;100
PriorityQueueArray;24576;45442;100
PriorityQueueArray;32768;58678;100
PriorityQueueHeap;1024;480;100
PriorityQueueHeap;2048;564;100
PriorityQueueHeap;4096;705;100
PriorityQueueHeap;8192;838;100
PriorityQueueHeap;12288;941;100
PriorityQueueHeap;16384;799;100
PriorityQueueHeap;24576;1092;100
PriorityQueueHeap;32768;998;100
PriorityQueueHeapMap;1024;2058;100
PriorityQueueHeapMap;2048;2347;100
PriorityQueueHeapMap;4096;2892;100
PriorityQueueHeapMap;8192;2861;100
PriorityQueueHeapMap;12288;2628;100
PriorityQueueHeapMap;16384;2448;100
PriorityQueueHeapMap;24576;2880;100
PriorityQueueHeapMap;32768;2646;100
PriorityQueueList;1024;455;100
PriorityQueueList;2048;501;100
PriorityQueueList;4096;498;100
PriorityQueueList;8192;496;100
PriorityQueueList;12288;485;100
PriorityQueueList;16384;477;100
PriorityQueueList;24576;483;100
PriorityQueueList;32768;504;100
