className;stack;average;repetitions
PriorityQueueArray;1024;466;100
PriorityQueueArray;2048;284;100
PriorityQueueArray;4096;254;100
PriorityQueueArray;8192;268;100
PriorityQueueArray;12288;414;100
PriorityQueueArray;16384;323;100
PriorityQueueArray;24576;404;100
PriorityQueueArray;32768;414;100
PriorityQueueHeap;1024;400;100
PriorityQueueHeap;2048;387;100
PriorityQueueHeap;4096;393;100
PriorityQueueHeap;8192;361;100
PriorityQueueHeap;12288;581;100
PriorityQueueHeap;16384;472;100
PriorityQueueHeap;24576;619;100
PriorityQueueHeap;32768;635;100
PriorityQueueHeapMap;1024;682;100
PriorityQueueHeapMap;2048;759;100
PriorityQueueHeapMap;4096;817;100
PriorityQueueHeapMap;8192;795;100
PriorityQueueHeapMap;12288;761;100
PriorityQueueHeapMap;16384;717;100
PriorityQueueHeapMap;24576;700;100
PriorityQueueHeapMap;32768;721;100
PriorityQueueList;1024;97944;100
PriorityQueueList;2048;198358;100
PriorityQueueList;4096;484535;100
PriorityQueueList;8192;877118;100
PriorityQueueList;12288;1.29037e+06;100
PriorityQueueList;16384;1.16759e+06;100
PriorityQueueList;24576;3.0003e+06;100
PriorityQueueList;32768;2.05944e+06;100
