className;stack;average;repetitions
PriorityQueueArray;1024;295;100
PriorityQueueArray;2048;191;100
PriorityQueueArray;4096;171;100
PriorityQueueArray;8192;174;100
PriorityQueueArray;12288;278;100
PriorityQueueArray;16384;206;100
PriorityQueueArray;24576;263;100
PriorityQueueArray;32768;269;100
PriorityQueueHeap;1024;179;100
PriorityQueueHeap;2048;178;100
PriorityQueueHeap;4096;185;100
PriorityQueueHeap;8192;181;100
PriorityQueueHeap;12288;250;100
PriorityQueueHeap;16384;216;100
PriorityQueueHeap;24576;255;100
PriorityQueueHeap;32768;306;100
PriorityQueueHeapMap;1024;254;100
PriorityQueueHeapMap;2048;288;100
PriorityQueueHeapMap;4096;295;100
PriorityQueueHeapMap;8192;307;100
PriorityQueueHeapMap;12288;317;100
PriorityQueueHeapMap;16384;315;100
PriorityQueueHeapMap;24576;316;100
PriorityQueueHeapMap;32768;327;100
PriorityQueueList;1024;277;100
PriorityQueueList;2048;291;100
PriorityQueueList;4096;278;100
PriorityQueueList;8192;267;100
PriorityQueueList;12288;267;100
PriorityQueueList;16384;268;100
PriorityQueueList;24576;275;100
PriorityQueueList;32768;281;100
