className;stack;average;repetitions
PriorityQueueArray;1024;387;100
PriorityQueueArray;2048;257;100
PriorityQueueArray;4096;228;100
PriorityQueueArray;8192;292;100
PriorityQueueArray;12288;363;100
PriorityQueueArray;16384;352;100
PriorityQueueArray;24576;406;100
PriorityQueueArray;32768;406;100
PriorityQueueHeap;1024;2030;100
PriorityQueueHeap;2048;2059;100
PriorityQueueHeap;4096;2310;100
PriorityQueueHeap;8192;2595;100
PriorityQueueHeap;12288;3325;100
PriorityQueueHeap;16384;3250;100
PriorityQueueHeap;24576;3597;100
PriorityQueueHeap;32768;3705;100
PriorityQueueHeapMap;1024;6526;100
PriorityQueueHeapMap;2048;7538;100
PriorityQueueHeapMap;4096;8003;100
PriorityQueueHeapMap;8192;8995;100
PriorityQueueHeapMap;12288;9039;100
PriorityQueueHeapMap;16384;9655;100
PriorityQueueHeapMap;24576;10671;100
PriorityQueueHeapMap;32768;10920;100
PriorityQueueList;1024;100085;100
PriorityQueueList;2048;201321;100
PriorityQueueList;4096;474556;100
PriorityQueueList;8192;859908;100
PriorityQueueList;12288;1.3096e+06;100
PriorityQueueList;16384;1.08786e+06;100
PriorityQueueList;24576;1.89653e+06;100
PriorityQueueList;32768;1.88572e+06;100
