className;stack;average;repetitions
PriorityQueueArray;1024;4453;100
PriorityQueueArray;2048;8072;100
PriorityQueueArray;4096;15985;100
PriorityQueueArray;8192;31438;100
PriorityQueueArray;12288;52301;100
PriorityQueueArray;16384;61774;100
PriorityQueueArray;24576;90921;100
PriorityQueueArray;32768;122981;100
PriorityQueueHeap;1024;2748;100
PriorityQueueHeap;2048;3727;100
PriorityQueueHeap;4096;6027;100
PriorityQueueHeap;8192;11913;100
PriorityQueueHeap;12288;15722;100
PriorityQueueHeap;16384;25060;100
PriorityQueueHeap;24576;31263;100
PriorityQueueHeap;32768;43841;100
PriorityQueueHeapMap;1024;3864;100
PriorityQueueHeapMap;2048;4433;100
PriorityQueueHeapMap;4096;5127;100
PriorityQueueHeapMap;8192;5545;100
PriorityQueueHeapMap;12288;5481;100
PriorityQueueHeapMap;16384;5213;100
PriorityQueueHeapMap;24576;5777;100
PriorityQueueHeapMap;32768;6184;100
PriorityQueueList;1024;55517;100
PriorityQueueList;2048;106110;100
PriorityQueueList;4096;203271;100
PriorityQueueList;8192;426197;100
PriorityQueueList;12288;750379;100
PriorityQueueList;16384;936530;100
PriorityQueueList;24576;1.25073e+06;100
PriorityQueueList;32768;1.54129e+06;100
