className;stack;average;repetitions
PriorityQueueArray;1024;198;50
PriorityQueueArray;2048;185;50
PriorityQueueArray;4096;183;50
PriorityQueueArray;8192;192;50
PriorityQueueArray;12288;331;50
PriorityQueueArray;16384;277;50
PriorityQueueArray;24576;325;50
PriorityQueueArray;32768;323;50
PriorityQueueHeap;1024;1692;50
PriorityQueueHeap;2048;1814;50
PriorityQueueHeap;4096;2020;50
PriorityQueueHeap;8192;2472;50
PriorityQueueHeap;12288;2587;50
PriorityQueueHeap;16384;3044;50
PriorityQueueHeap;24576;3138;50
PriorityQueueHeap;32768;3269;50
PriorityQueueHeapMap;1024;4128;50
PriorityQueueHeapMap;2048;5520;50
PriorityQueueHeapMap;4096;6833;50
PriorityQueueHeapMap;8192;8119;50
PriorityQueueHeapMap;12288;8184;50
PriorityQueueHeapMap;16384;8806;50
PriorityQueueHeapMap;24576;10523;50
PriorityQueueHeapMap;32768;9634;50
PriorityQueueList;1024;77564;50
PriorityQueueList;2048;169497;50
PriorityQueueList;4096;471836;50
PriorityQueueList;8192;737284;50
PriorityQueueList;12288;1.38509e+06;50
PriorityQueueList;16384;1.55068e+06;50
PriorityQueueList;24576;1.44017e+06;50
PriorityQueueList;32768;2.45056e+06;50
