className;stack;average;repetitions
PriorityQueueArray;1024;2367;50
PriorityQueueArray;2048;4585;50
PriorityQueueArray;4096;7230;50
PriorityQueueArray;8192;16633;50
PriorityQueueArray;12288;22362;50
PriorityQueueArray;16384;31113;50
PriorityQueueArray;24576;44921;50
PriorityQueueArray;32768;60168;50
PriorityQueueHeap;1024;585;50
PriorityQueueHeap;2048;443;50
PriorityQueueHeap;4096;455;50
PriorityQueueHeap;8192;620;50
PriorityQueueHeap;12288;854;50
PriorityQueueHeap;16384;1061;50
PriorityQueueHeap;24576;923;50
PriorityQueueHeap;32768;1056;50
PriorityQueueHeapMap;1024;2488;50
PriorityQueueHeapMap;2048;2544;50
PriorityQueueHeapMap;4096;2297;50
PriorityQueueHeapMap;8192;3109;50
PriorityQueueHeapMap;12288;2733;50
PriorityQueueHeapMap;16384;3137;50
PriorityQueueHeapMap;24576;2918;50
PriorityQueueHeapMap;32768;2972;50
PriorityQueueList;1024;504;50
PriorityQueueList;2048;496;50
PriorityQueueList;4096;518;50
PriorityQueueList;8192;512;50
PriorityQueueList;12288;532;50
PriorityQueueList;16384;479;50
PriorityQueueList;24576;489;50
PriorityQueueList;32768;498;50
