className;stack;average;repetitions
PriorityQueueArray;1024;4261;50
PriorityQueueArray;2048;7711;50
PriorityQueueArray;4096;16835;50
PriorityQueueArray;8192;33144;50
PriorityQueueArray;12288;46931;50
PriorityQueueArray;16384;65283;50
PriorityQueueArray;24576;93255;50
PriorityQueueArray;32768;124443;50
PriorityQueueHeap;1024;2989;50
PriorityQueueHeap;2048;3597;50
PriorityQueueHeap;4096;5761;50
PriorityQueueHeap;8192;10794;50
PriorityQueueHeap;12288;15829;50
PriorityQueueHeap;16384;22040;50
PriorityQueueHeap;24576;32641;50
PriorityQueueHeap;32768;44857;50
PriorityQueueHeapMap;1024;3770;50
PriorityQueueHeapMap;2048;4140;50
PriorityQueueHeapMap;4096;5355;50
PriorityQueueHeapMap;8192;5525;50
PriorityQueueHeapMap;12288;5536;50
PriorityQueueHeapMap;16384;5720;50
PriorityQueueHeapMap;24576;5429;50
PriorityQueueHeapMap;32768;5598;50
PriorityQueueList;1024;46630;50
PriorityQueueList;2048;115432;50
PriorityQueueList;4096;236779;50
PriorityQueueList;8192;498185;50
PriorityQueueList;12288;595717;50
PriorityQueueList;16384;1.00217e+06;50
PriorityQueueList;24576;1.30498e+06;50
PriorityQueueList;32768;1.34732e+06;50
