className;stack;average;repetitions
PriorityQueueArray;1024;370;50
PriorityQueueArray;2048;209;50
PriorityQueueArray;4096;181;50
PriorityQueueArray;8192;270;50
PriorityQueueArray;12288;250;50
PriorityQueueArray;16384;260;50
PriorityQueueArray;24576;361;50
PriorityQueueArray;32768;379;50
PriorityQueueHeap;1024;344;50
PriorityQueueHeap;2048;314;50
PriorityQueueHeap;4096;342;50
PriorityQueueHeap;8192;342;50
PriorityQueueHeap;12288;377;50
PriorityQueueHeap;16384;493;50
PriorityQueueHeap;24576;566;50
PriorityQueueHeap;32768;634;50
PriorityQueueHeapMap;1024;632;50
PriorityQueueHeapMap;2048;719;50
PriorityQueueHeapMap;4096;829;50
PriorityQueueHeapMap;8192;820;50
PriorityQueueHeapMap;12288;795;50
PriorityQueueHeapMap;16384;775;50
PriorityQueueHeapMap;24576;710;50
PriorityQueueHeapMap;32768;770;50
PriorityQueueList;1024;77635;50
PriorityQueueList;2048;166449;50
PriorityQueueList;4096;400764;50
PriorityQueueList;8192;739038;50
PriorityQueueList;12288;1.43453e+06;50
PriorityQueueList;16384;1.46892e+06;50
PriorityQueueList;24576;1.38384e+06;50
PriorityQueueList;32768;2.30438e+06;50
