className;stack;average;repetitions
PriorityQueueArray;1024;472;100
PriorityQueueArray;2048;252;100
PriorityQueueArray;4096;225;100
PriorityQueueArray;8192;665;100
PriorityQueueArray;12288;356;100
PriorityQueueArray;16384;341;100
PriorityQueueArray;24576;420;100
PriorityQueueArray;32768;420;100
PriorityQueueHeap;1024;2040;100
PriorityQueueHeap;2048;2074;100
PriorityQueueHeap;4096;2368;100
PriorityQueueHeap;8192;2607;100
PriorityQueueHeap;12288;3388;100
PriorityQueueHeap;16384;3219;100
PriorityQueueHeap;24576;3641;100
PriorityQueueHeap;32768;3756;100
PriorityQueueHeapMap;1024;5876;100
PriorityQueueHeapMap;2048;7387;100
PriorityQueueHeapMap;4096;7809;100
PriorityQueueHeapMap;8192;8954;100
PriorityQueueHeapMap;12288;9368;100
PriorityQueueHeapMap;16384;9412;100
PriorityQueueHeapMap;24576;9755;100
PriorityQueueHeapMap;32768;9911;100
PriorityQueueList;1024;90937;100
PriorityQueueList;2048;170687;100
PriorityQueueList;4096;349810;100
PriorityQueueList;8192;626749;100
PriorityQueueList;12288;939670;100
PriorityQueueList;16384;1.62365e+06;100
PriorityQueueList;24576;1.3674e+06;100
PriorityQueueList;32768;2.07492e+06;100
