className;stack;average;repetitions
PriorityQueueArray;1024;2792;100
PriorityQueueArray;2048;4705;100
PriorityQueueArray;4096;8082;100
PriorityQueueArray;8192;15491;100
PriorityQueueArray;12288;27081;100
PriorityQueueArray;16384;29364;100
PriorityQueueArray;24576;44435;100
PriorityQueueArray;32768;59729;100
PriorityQueueHeap;1024;498;100
PriorityQueueHeap;2048;638;100
PriorityQueueHeap;4096;765;100
PriorityQueueHeap;8192;679;100
PriorityQueueHeap;12288;883;100
PriorityQueueHeap;16384;969;100
PriorityQueueHeap;24576;941;100
PriorityQueueHeap;32768;941;100
PriorityQueueHeapMap;1024;2038;100
PriorityQueueHeapMap;2048;2561;100
PriorityQueueHeapMap;4096;3074;100
PriorityQueueHeapMap;8192;2802;100
PriorityQueueHeapMap;12288;2467;100
PriorityQueueHeapMap;16384;2944;100
PriorityQueueHeapMap;24576;2251;100
PriorityQueueHeapMap;32768;2530;100
PriorityQueueList;1024;435;100
PriorityQueueList;2048;484;100
PriorityQueueList;4096;476;100
PriorityQueueList;8192;486;100
PriorityQueueList;12288;457;100
PriorityQueueList;16384;475;100
PriorityQueueList;24576;465;100
PriorityQueueList;32768;506;100
