className;stack;average;repetitions
PriorityQueueArray;1024;434;100
PriorityQueueArray;2048;339;100
PriorityQueueArray;4096;243;100
PriorityQueueArray;8192;286;100
PriorityQueueArray;12288;606;100
PriorityQueueArray;16384;310;100
PriorityQueueArray;24576;400;100
PriorityQueueArray;32768;406;100
PriorityQueueHeap;1024;405;100
PriorityQueueHeap;2048;402;100
PriorityQueueHeap;4096;383;100
PriorityQueueHeap;8192;419;100
PriorityQueueHeap;12288;608;100
PriorityQueueHeap;16384;570;100
PriorityQueueHeap;24576;682;100
PriorityQueueHeap;32768;707;100
PriorityQueueHeapMap;1024;670;100
PriorityQueueHeapMap;2048;785;100
PriorityQueueHeapMap;4096;819;100
PriorityQueueHeapMap;8192;719;100
PriorityQueueHeapMap;12288;807;100
PriorityQueueHeapMap;16384;764;100
PriorityQueueHeapMap;24576;1201;100
PriorityQueueHeapMap;32768;871;100
PriorityQueueList;1024;97372;100
PriorityQueueList;2048;180079;100
PriorityQueueList;4096;379750;100
PriorityQueueList;8192;635199;100
PriorityQueueList;12288;983558;100
PriorityQueueList;16384;1.67263e+06;100
PriorityQueueList;24576;1.42561e+06;100
PriorityQueueList;32768;2.10135e+06;100
