className;stack;average;repetitions
PriorityQueueArray;1024;299;100
PriorityQueueArray;2048;179;100
PriorityQueueArray;4096;173;100
PriorityQueueArray;8192;183;100
PriorityQueueArray;12288;254;100
PriorityQueueArray;16384;201;100
PriorityQueueArray;24576;251;100
PriorityQueueArray;32768;271;100
PriorityQueueHeap;1024;185;100
PriorityQueueHeap;2048;185;100
PriorityQueueHeap;4096;171;100
PriorityQueueHeap;8192;196;100
PriorityQueueHeap;12288;257;100
PriorityQueueHeap;16384;456;100
PriorityQueueHeap;24576;270;100
PriorityQueueHeap;32768;303;100
PriorityQueueHeapMap;1024;265;100
PriorityQueueHeapMap;2048;289;100
PriorityQueueHeapMap;4096;299;100
PriorityQueueHeapMap;8192;310;100
PriorityQueueHeapMap;12288;307;100
PriorityQueueHeapMap;16384;308;100
PriorityQueueHeapMap;24576;313;100
PriorityQueueHeapMap;32768;334;100
PriorityQueueList;1024;246;100
PriorityQueueList;2048;260;100
PriorityQueueList;4096;261;100
PriorityQueueList;8192;256;100
PriorityQueueList;12288;246;100
PriorityQueueList;16384;258;100
PriorityQueueList;24576;250;100
PriorityQueueList;32768;266;100
