className;stack;average;repetitions
PriorityQueueArray;1024;4489;100
PriorityQueueArray;2048;8188;100
PriorityQueueArray;4096;15843;100
PriorityQueueArray;8192;31862;100
PriorityQueueArray;12288;46379;100
PriorityQueueArray;16384;62109;100
PriorityQueueArray;24576;93120;100
PriorityQueueArray;32768;123020;100
PriorityQueueHeap;1024;2333;100
PriorityQueueHeap;2048;3539;100
PriorityQueueHeap;4096;6205;100
PriorityQueueHeap;8192;11954;100
PriorityQueueHeap;12288;17909;100
PriorityQueueHeap;16384;23690;100
PriorityQueueHeap;24576;32449;100
PriorityQueueHeap;32768;43628;100
PriorityQueueHeapMap;1024;3960;100
PriorityQueueHeapMap;2048;4930;100
PriorityQueueHeapMap;4096;5563;100
PriorityQueueHeapMap;8192;5656;100
PriorityQueueHeapMap;12288;5688;100
PriorityQueueHeapMap;16384;5435;100
PriorityQueueHeapMap;24576;7380;100
PriorityQueueHeapMap;32768;6224;100
PriorityQueueList;1024;47112;100
PriorityQueueList;2048;101099;100
PriorityQueueList;4096;240707;100
PriorityQueueList;8192;527663;100
PriorityQueueList;12288;745577;100
PriorityQueueList;16384;904531;100
PriorityQueueList;24576;1.11372e+06;100
PriorityQueueList;32768;1.55639e+06;100
