className;stack;average;repetitions
PriorityQueueArray;1024;190;100
PriorityQueueArray;2048;186;100
PriorityQueueArray;4096;200;100
PriorityQueueArray;8192;222;100
PriorityQueueArray;12288;432;100
PriorityQueueArray;16384;286;100
PriorityQueueArray;24576;332;100
PriorityQueueArray;32768;333;100
PriorityQueueHeap;1024;2093;100
PriorityQueueHeap;2048;1822;100
PriorityQueueHeap;4096;2383;100
PriorityQueueHeap;8192;2482;100
PriorityQueueHeap;12288;2770;100
PriorityQueueHeap;16384;3912;100
PriorityQueueHeap;24576;3693;100
PriorityQueueHeap;32768;3293;100
PriorityQueueHeapMap;1024;4683;100
PriorityQueueHeapMap;2048;8283;100
PriorityQueueHeapMap;4096;7439;100
PriorityQueueHeapMap;8192;8119;100
PriorityQueueHeapMap;12288;8917;100
PriorityQueueHeapMap;16384;9500;100
PriorityQueueHeapMap;24576;12005;100
PriorityQueueHeapMap;32768;10958;100
PriorityQueueList;1024;88896;100
PriorityQueueList;2048;162156;100
PriorityQueueList;4096;395771;100
PriorityQueueList;8192;698765;100
PriorityQueueList;12288;954218;100
PriorityQueueList;16384;1.20773e+06;100
PriorityQueueList;24576;1.77962e+06;100
PriorityQueueList;32768;2.1666e+06;100
