className;stack;average;repetitions
PriorityQueueArray;1024;4511;100
PriorityQueueArray;2048;8162;100
PriorityQueueArray;4096;15791;100
PriorityQueueArray;8192;30699;100
PriorityQueueArray;12288;46958;100
PriorityQueueArray;16384;61138;100
PriorityQueueArray;24576;93612;100
PriorityQueueArray;32768;124180;100
PriorityQueueHeap;1024;2379;100
PriorityQueueHeap;2048;3492;100
PriorityQueueHeap;4096;6606;100
PriorityQueueHeap;8192;11959;100
PriorityQueueHeap;12288;17019;100
PriorityQueueHeap;16384;24137;100
PriorityQueueHeap;24576;30324;100
PriorityQueueHeap;32768;44687;100
PriorityQueueHeapMap;1024;4044;100
PriorityQueueHeapMap;2048;4632;100
PriorityQueueHeapMap;4096;4907;100
PriorityQueueHeapMap;8192;6141;100
PriorityQueueHeapMap;12288;5487;100
PriorityQueueHeapMap;16384;5032;100
PriorityQueueHeapMap;24576;6577;100
PriorityQueueHeapMap;32768;6282;100
PriorityQueueList;1024;50583;100
PriorityQueueList;2048;112905;100
PriorityQueueList;4096;206568;100
PriorityQueueList;8192;395815;100
PriorityQueueList;12288;678027;100
PriorityQueueList;16384;814648;100
PriorityQueueList;24576;970650;100
PriorityQueueList;32768;1.17087e+06;100
