className;stack;average;repetitions
PriorityQueueArray;1024;305;100
PriorityQueueArray;2048;189;100
PriorityQueueArray;4096;164;100
PriorityQueueArray;8192;196;100
PriorityQueueArray;12288;279;100
PriorityQueueArray;16384;204;100
PriorityQueueArray;24576;258;100
PriorityQueueArray;32768;260;100
PriorityQueueHeap;1024;172;100
PriorityQueueHeap;2048;185;100
PriorityQueueHeap;4096;164;100
PriorityQueueHeap;8192;202;100
PriorityQueueHeap;12288;246;100
PriorityQueueHeap;16384;231;100
PriorityQueueHeap;24576;256;100
PriorityQueueHeap;32768;270;100
PriorityQueueHeapMap;1024;263;100
PriorityQueueHeapMap;2048;288;100
PriorityQueueHeapMap;4096;294;100
PriorityQueueHeapMap;8192;304;100
PriorityQueueHeapMap;12288;297;100
PriorityQueueHeapMap;16384;304;100
PriorityQueueHeapMap;24576;312;100
PriorityQueueHeapMap;32768;312;100
PriorityQueueList;1024;249;100
PriorityQueueList;2048;249;100
PriorityQueueList;4096;253;100
PriorityQueueList;8192;254;100
PriorityQueueList;12288;254;100
PriorityQueueList;16384;270;100
PriorityQueueList;24576;263;100
PriorityQueueList;32768;275;100
