className;stack;average;repetitions
PriorityQueueArray;1024;2494;100
PriorityQueueArray;2048;4121;100
PriorityQueueArray;4096;7736;100
PriorityQueueArray;8192;14780;100
PriorityQueueArray;12288;27374;100
PriorityQueueArray;16384;29391;100
PriorityQueueArray;24576;44913;100
PriorityQueueArray;32768;59801;100
PriorityQueueHeap;1024;549;100
PriorityQueueHeap;2048;508;100
PriorityQueueHeap;4096;652;100
PriorityQueueHeap;8192;723;100
PriorityQueueHeap;12288;910;100
PriorityQueueHeap;16384;841;100
PriorityQueueHeap;24576;1041;100
PriorityQueueHeap;32768;978;100
PriorityQueueHeapMap;1024;2432;100
PriorityQueueHeapMap;2048;2225;100
PriorityQueueHeapMap;4096;2555;100
PriorityQueueHeapMap;8192;2926;100
PriorityQueueHeapMap;12288;2515;100
PriorityQueueHeapMap;16384;2859;100
PriorityQueueHeapMap;24576;2647;100
PriorityQueueHeapMap;32768;2768;100
PriorityQueueList;1024;494;100
PriorityQueueList;2048;510;100
PriorityQueueList;4096;501;100
PriorityQueueList;8192;504;100
PriorityQueueList;12288;497;100
PriorityQueueList;16384;485;100
PriorityQueueList;24576;468;100
PriorityQueueList;32768;481;100
