className;stack;average;repetitions
PriorityQueueArray;1024;257;1000
PriorityQueueArray;2048;273;1000
PriorityQueueArray;4096;316;1000
PriorityQueueArray;8192;353;1000
PriorityQueueArray;12288;357;1000
PriorityQueueArray;16384;366;1000
PriorityQueueArray;24576;361;1000
PriorityQueueArray;32768;379;1000
PriorityQueueHeap;1024;359;1000
PriorityQueueHeap;2048;385;1000
PriorityQueueHeap;4096;443;1000
PriorityQueueHeap;8192;453;1000
PriorityQueueHeap;12288;456;1000
PriorityQueueHeap;16384;461;1000
PriorityQueueHeap;24576;461;1000
PriorityQueueHeap;32768;477;1000
